index,home_team,away_team,id,market,competition_name,prediction,competition_cluster,status,federation,is_expired,season,result,start_date,last_update_at,odds
0,Pomorie,Strumska Slava Radomir,40586,classic,Second PFL,1X,Bulgaria,lost,UEFA,TRUE,2018 - 2019,0 - 2,2018-12-01T12:30:00,2018-12-01T12:15:21.956000,"{'1': 1.975, 'X': 3.11, '2': 3.18, '1X': 1.26, 'X2': 1.625, '12': 1.27}"
1,FC Koln,Greuther Furth,40101,classic,2. Bundesliga,1,Germany,won,UEFA,TRUE,2018 - 2019,4 - 0,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 1.367, 'X': 4.834, '2': 7.38, '1X': 1.081, 'X2': 2.951, '12': 1.146}"
2,Sankt Pauli,Dynamo Dresden,40103,classic,2. Bundesliga,1X,Germany,won,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 1.96, 'X': 3.334, '2': 3.804, '1X': 1.249, 'X2': 1.77, '12': 1.286}"
3,Sloboda Tuzla,Mladost Doboj Kakanj,40154,classic,Premier League,12,Bosnia and Herzegovina,won,UEFA,TRUE,2018 - 2019,02-Jan,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 1.908, 'X': 3.283, '2': 3.515, '1X': 1.25, 'X2': 1.75, '12': 1.275}"
4,Mornar Bar,Zeta Golubovci,40184,classic,Prva Liga,2,Montenegro,lost,UEFA,TRUE,2018 - 2019,0 - 0,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 3.827, 'X': 2.96, '2': 1.92, '1X': 1.713, 'X2': 1.2, '12': 1.317}"
5,Sutjeska Niksic,Grbalj Radanovici,40187,classic,Prva Liga,1X,Montenegro,won,UEFA,TRUE,2018 - 2019,3 - 0,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 1.79, 'X': 2.91, '2': 4.05, '1X': 1.18, 'X2': 1.69, '12': 1.28}"
6,Sheffield United,Leeds,40062,classic,Championship,12,England,won,UEFA,TRUE,2018 - 2019,0 - 1,2018-12-01T12:30:00,2018-12-01T12:15:21.956000,"{'1': 2.297, 'X': 3.384, '2': 3.097, '1X': 1.354, 'X2': 1.59, '12': 1.29}"
7,Grenoble Foot 38,Metz,40095,classic,Ligue 2,1X,France,won,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 2.607, 'X': 2.884, '2': 2.824, '1X': 1.397, 'X2': 1.456, '12': 1.353}"
8,Preussen Munster,Hallescher,40108,classic,3. Liga,1X,Germany,lost,UEFA,TRUE,2018 - 2019,01-Feb,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 2.556, 'X': 3.163, '2': 2.639, '1X': 1.441, 'X2': 1.47, '12': 1.287}"
9,Botev Plovdiv,Beroe Stara Zagora,40158,classic,First PFL,12,Bulgaria,won,UEFA,TRUE,2018 - 2019,04-Jan,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 2.589, 'X': 3.157, '2': 2.529, '1X': 1.464, 'X2': 1.451, '12': 1.296}"
10,Platanias FC,AO Trikala,40171,classic,Football League,1,Greece,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 1.646, 'X': 3.35, '2': 4.83, '1X': 1.143, 'X2': 2.06, '12': 1.26}"
11,Warta Poznan,Puszcza Niepolomice,40200,classic,First League,12,Poland,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T12:00:00,2018-12-01T09:16:17.282000,"{'1': 3.029, 'X': 2.974, '2': 2.345, '1X': 1.53, 'X2': 1.335, '12': 1.327}"
12,FC Nitra,FK Senica,40242,classic,Superliga,1,Slovakia,won,UEFA,TRUE,2018 - 2019,1 - 0,2018-12-01T13:00:00,2018-12-01T09:16:17.282000,"{'1': 1.705, 'X': 3.568, '2': 4.2, '1X': 1.183, 'X2': 1.997, '12': 1.228}"
13,Antalyaspor,Goztepe,40252,classic,Super Lig,1X,Turkey,won,UEFA,TRUE,2018 - 2019,1 - 0,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 2.454, 'X': 3.197, '2': 2.901, '1X': 1.39, 'X2': 1.521, '12': 1.293}"
14,Balikesirspor,Denizlispor,40257,classic,TFF First League,12,Turkey,lost,UEFA,TRUE,2018 - 2019,0 - 0,2018-12-01T13:00:00,2018-12-01T12:15:21.956000,"{'1': 2.567, 'X': 3.332, '2': 2.548, '1X': 1.473, 'X2': 1.454, '12': 1.283}"
15,Sion,Luzern,40249,classic,Swiss Super League,12,Switzerland,won,UEFA,TRUE,2018 - 2019,2 - 0,2018-12-01T18:00:00,2018-12-01T15:13:15.273000,"{'1': 2.147, 'X': 3.539, '2': 3.029, '1X': 1.36, 'X2': 1.637, '12': 1.259}"
16,Zulte Waregem,Oostende,40150,classic,First Division A,1,Belgium,lost,UEFA,TRUE,2018 - 2019,01-Jan,2018-12-01T19:00:00,2018-12-01T15:13:15.273000,"{'1': 1.699, 'X': 3.989, '2': 4.377, '1X': 1.193, 'X2': 2.099, '12': 1.216}"
