date, home_team_name, visitor_team_name, home_team_score, visitor_team_score, home_team_win
2, Boston Celtics, Charlotte Hornets, 126,  94,  1
5, Boston Celtics, LA Clippers, 112,  123,  0
4, Philadelphia 76ers, Denver Nuggets, 117,  110,  1
4, Washington Wizards, Cleveland Cavaliers, 119,  106,  1
4, Sacramento Kings, Miami Heat, 102,  96,  1
0, Detroit Pistons, Washington Wizards, 121,  112,  1
4, New Orleans Pelicans, Minnesota Timberwolves, 122,  117,  1
5, Indiana Pacers, Cleveland Cavaliers, 105,  90,  1
5, Atlanta Hawks, Charlotte Hornets, 120,  129,  0
5, Utah Jazz, San Antonio Spurs, 125,  105,  1
5, Chicago Bulls, Washington Wizards, 125,  134,  0
6, Dallas Mavericks, Portland Trail Blazers, 102,  101,  1
6, Philadelphia 76ers, Los Angeles Lakers, 143,  120,  1
6, Sacramento Kings, Phoenix Suns, 117,  104,  1
5, Milwaukee Bucks, Orlando Magic, 83,  103,  0
5, Houston Rockets, Oklahoma City Thunder, 112,  117,  0
6, Golden State Warriors, Miami Heat, 120,  118,  1
6, Atlanta Hawks, Orlando Magic, 108,  124,  0
0, Houston Rockets, Dallas Mavericks, 120,  104,  1
0, Toronto Raptors, Brooklyn Nets, 127,  125,  1
1, Atlanta Hawks, Los Angeles Lakers, 117,  113,  1
0, Indiana Pacers, Charlotte Hornets, 99,  90,  1
0, Chicago Bulls, Milwaukee Bucks, 99,  112,  0
1, Golden State Warriors, Utah Jazz, 115,  108,  1
1, Memphis Grizzlies, San Antonio Spurs, 107,  108,  0
2, Cleveland Cavaliers, Brooklyn Nets, 139,  148,  0
1, Philadelphia 76ers, Boston Celtics, 109,  112,  0
1, New Orleans Pelicans, Orlando Magic, 88,  118,  0
2, Minnesota Timberwolves, Houston Rockets, 121,  111,  1
3, New Orleans Pelicans, Oklahoma City Thunder, 131,  122,  1
2, Indiana Pacers, Milwaukee Bucks, 97,  106,  0
2, Boston Celtics, Detroit Pistons, 118,  110,  1
2, New York Knicks, Philadelphia 76ers, 111,  126,  0
2, Chicago Bulls, Memphis Grizzlies, 122,  110,  1
3, Milwaukee Bucks, Boston Celtics, 98,  97,  1
5, Cleveland Cavaliers, Memphis Grizzlies, 112,  107,  1
4, Orlando Magic, Chicago Bulls, 109,  110,  0
2, Toronto Raptors, Washington Wizards, 129,  120,  1
2, Dallas Mavericks, Miami Heat, 101,  112,  0
2, Portland Trail Blazers, Golden State Warriors, 129,  107,  1
3, Philadelphia 76ers, Miami Heat, 106,  102,  1
3, Los Angeles Lakers, Houston Rockets, 111,  106,  1
2, Charlotte Hornets, Houston Rockets, 113,  118,  0
4, Memphis Grizzlies, LA Clippers, 106,  112,  0
0, New Orleans Pelicans, Philadelphia 76ers, 110,  111,  0
1, Denver Nuggets, Oklahoma City Thunder, 121,  112,  1
2, Los Angeles Lakers, New Orleans Pelicans, 125,  119,  1
5, Indiana Pacers, Orlando Magic, 112,  117,  0
3, Indiana Pacers, Minnesota Timberwolves, 122,  115,  1
4, Sacramento Kings, LA Clippers, 109,  116,  0
6, Detroit Pistons, Toronto Raptors, 112,  107,  1
0, Brooklyn Nets, Dallas Mavericks, 127,  88,  1
1, Golden State Warriors, Boston Celtics, 95,  128,  0
2, Los Angeles Lakers, Denver Nuggets, 99,  115,  0
2, Washington Wizards, Dallas Mavericks, 132,  123,  1
4, Golden State Warriors, Denver Nuggets, 122,  105,  1
4, Miami Heat, Cleveland Cavaliers, 126,  110,  1
5, Atlanta Hawks, Brooklyn Nets, 112,  114,  0
2, Washington Wizards, Orlando Magic, 100,  90,  1
5, Milwaukee Bucks, Charlotte Hornets, 131,  114,  1
6, Memphis Grizzlies, Orlando Magic, 105,  97,  1
6, Detroit Pistons, Chicago Bulls, 131,  108,  1
0, Washington Wizards, Sacramento Kings, 121,  115,  1
6, Minnesota Timberwolves, New York Knicks, 103,  92,  1
1, Chicago Bulls, Los Angeles Lakers, 107,  123,  0
5, Dallas Mavericks, Cleveland Cavaliers, 121,  116,  1
3, Utah Jazz, Minnesota Timberwolves, 120,  100,  1
4, Philadelphia 76ers, Sacramento Kings, 123,  114,  1
3, Phoenix Suns, Detroit Pistons, 98,  118,  0
6, Sacramento Kings, Chicago Bulls, 129,  102,  1
0, Oklahoma City Thunder, Miami Heat, 107,  116,  0
2, Oklahoma City Thunder, Toronto Raptors, 114,  123,  0
4, Houston Rockets, San Antonio Spurs, 111,  105,  1
5, Detroit Pistons, Portland Trail Blazers, 99,  90,  1
5, Chicago Bulls, Utah Jazz, 83,  114,  0
6, New Orleans Pelicans, Houston Rockets, 90,  113,  0
0, Orlando Magic, Philadelphia 76ers, 119,  98,  1
1, Toronto Raptors, Chicago Bulls, 112,  103,  1
3, San Antonio Spurs, Cleveland Cavaliers, 116,  110,  1
4, Los Angeles Lakers, Charlotte Hornets, 129,  115,  1
6, New Orleans Pelicans, Los Angeles Lakers, 102,  130,  0
0, Boston Celtics, Miami Heat, 110,  105,  1
1, San Antonio Spurs, Atlanta Hawks, 117,  111,  1
3, Los Angeles Lakers, Golden State Warriors, 90,  108,  0
2, Portland Trail Blazers, Memphis Grizzlies, 116,  89,  1
2, Orlando Magic, New York Knicks, 114,  100,  1
4, Denver Nuggets, Portland Trail Blazers, 119,  110,  1
6, Sacramento Kings, New Orleans Pelicans, 129,  133,  0
4, Orlando Magic, Atlanta Hawks, 149,  113,  1
6, Minnesota Timberwolves, Oklahoma City Thunder, 126,  132,  0
1, Cleveland Cavaliers, Charlotte Hornets, 97,  124,  0
